VocabularyId;Ordinal;English;Persian
95;2;Media education has been shown to be effective in mitigating some of the negative effects of advertising on children and adolescents.;آموزش رسانه ای نشان داده است که در کم کردن اثرات منفی تبلیغات برروی کودکان و نوجوانان موثر است. 
96;1;Every day, television stifles creativity in children because of its passive enjoyments. ;هرروز، تلویزیون به خاطر تفریحات منفعل خود خلاقیت را در کودکان خاموش می کند.
96;2;Teachers have been attacked for stifling creativity in their pupils.;معلمین برای خاموش کردن خلاقیت در کودکان مورد حمله قرار گرفتند. 
97;1;We have become utterly dependent on/upon the two most primitive media of communication: pictures and the spoken word.;ما کاملاً به دو رسانه اصلی ارتباطات وابسته شده ایم: تصاویر و سخنان. 
97;2;Norway's economy is heavily dependent on natural resources.;اقتصاد امروز وابستگی زیادی به منابع طبیعی دارد. 
98;1;We become content with second-hand experiences.;ما از تجارب دست دوم و غیرمستقیم شاد می شویم.
98;2;We'll be content with the result in tomorrow's match.;ما از نتایج مسابقه فردا راضی خواهیم شد. 
99;1;Little by little, television cuts us off from the real world.;کم کم تلویزیون ما را از دنیای واقعی جدا می کند. 
99;2;One of his fingers was cut off in the accident.;در تصادف یکی از انگشت های او قطع شد. 
100;1;Television may be a splendid medium of communication, but it prevents us from communicating with each other.;تلویزیون ممکن است یک رسانه پرزرق و برق باشد، اما جلوی ارتباطات ما را با یکدیگر می گیرد. 
100;2;Increased speed of communication means that people can act much more quickly.;سرعت بالای ارتباطات باعث می شودکه مردم می توانند با سرعت بیشتری کارهای خود را انجام دهند. 
101;1;Newspapers have changed almost beyond recognition.;روزنامه ها تقریباً بیش از حد تصور تغییر کرده اند. 
101;2;The bakery business has changed beyond recognition in the last 10 years.;حرفه نانوایی در 10 سال گذشته بیش از حد تصور تغییر کرده است. 
102;1;We are exposed to a wealth of information, barely conceivable at the beginning of the last century.;ما با اطلاعات بسیار زیادی روبرو هستیم که در ابتدای قرن گذشته قابل تصور نبود. 
102;2;We discussed the problems from every conceivable angle.;ما درباره مشکلات از تقریباً تمام زوایای قابل تصور بحث کردیم. 
103;1;Freedom of expression is the keystone of a free country.;آزادی بیان شالوده یک کشور آزاد است. 
103;2;Student leaders are demanding greater freedom of expression.;رهبران دانشجویی درخواست آزادی بیان بیشتری دارند. 
104;1;While the media may occasionally abuse its position of power, the benefits greatly outweigh the disadvantages.;اگرچه رسانه ها گاهی از قدرتشان سوء استفاده می کنند، مزایای آنها از معایب آنها بسیار بیشتر است. 
104;2;Williams abused his position as Mayor to give jobs to his friends.;ویلیامز از مقام خود به عنوان شهردار استفاده کرده و به دوستانش کار داد. 
105;1;You should exercise your right as a parent to protect your children from undesirable influences.;شما باید از حق تان به عنوان یک پدر یا مادر استفاده کنید تا کودکانتان را از تاثیرات غیرمطلوب محافظت کنید. 
105;2;There are plans to encourage people to exercise their right to vote.;برنامه ریزی هایی وجود دارد که مردم را متقاعد کند تا از حق خود برای رای دادن استفاده کنند. 
105;3;You should exercise censorship where children are concerned;شما باید از حق تان برای سانسور جایی که به کودکان ربط دارد استفاده کنید. 
106;1;Censorship is for the good of society as a whole.;سانسور برای منفعت کل جامعه است. 
106;1;We must work together for the good of the community.;ما باید با هم برای منفعت جامعه تلاش کنیم. 
108;1;Like the law, censorship contributes to the common good.;مثل قانون، سانسور نیز به منفعت عموم کمک می کند. 
108;1;Drunk-driving laws were made for the common good.;قوانین رانندگی در حالت مستی برای منفعت عموم وضع شده اند. 
109;1;Fast food has come under fire over the past decade, following people’s growing concern on health. ;Fast food در چند دهه گذشته تحت انتقاد شدید بوده است، که نگرانی روبه افزایش مردم را در مورد سلامتی به همراه دارد.
109;2;Rail chiefs came under fire after raising train fares.;مقامات راه آهن پس از افزایش دادن کرایه های قطار مورد انتقاد شدید قرار گرفتند. 
110;1;Fast food is distinguished from traditional food mainly by the selection of ingredients and cuisines. ;غذاهای fast food از غذاهای سنتی از نظر انتخاب مواد و دستور پخت متمایز می شوند. 
110;2;Vegetarian cuisine;دستور پخت غذای سبزیجات
111;1;Fast food is well-known for its high levels of salt, fat and sugar and heavy reliance on meat, such as chicken and beef. ;غذای fast food به خاطر میزان بالای نمک، چربی و شکر و وابستگی زیاد به گوشت هایی مثل مرغ  و گوشت گاو معروف است. 
111;2;The country's heavy reliance on imported oil.;وابستگی شدید کشور به نفت وارداتی. 
112;1;While fast foods are prepared for time-minded eaters, who are just eager to relieve their hunger, traditional foods are diverse and varying. ;درحالیکه غذاهای fast food برای کسانی که زمان برایشان مهم است آماده می شود، کسانی که فقظ می خواهند گرسنگی خود را برطرف کنند، غذاهای سنتی بسیار متفاوت و گوناگون هستند. 
112;2;It is difficult to design a program that will meet the diverse needs of all our users.;خیلی سخت است که برنامه ایی را طراحی کنیم که نیازهای تمام کاربرانمان را برطرف سازد. 
113;1;The problem found in regular consumption of fast food is high risk of obesity. ;مشکل پید شده در مصرف مداوم غذاهای fast food خطر بالای چاقی است. 
113;2;Many popular fast food menu items are unhealthy, so excessive consumption can lead to obesity. ;خیلی از آیتم های منوی fast food ناسالم هستند، و بنابراین مصرف بیش از اندازه آنها می تواند سبب چاقی شود. 
114;1;Having a traditional meal is of importance in many social situations, and can be taken as a unifying element in family life, bringing people together in times of trouble and in times of joy. ;داشتن یک غذای سنتی در بسیاری از شرایط اجتماعی اهمیت دارد، و می توان از آن به عنوان یک عامل متحدکننده در زندگی خانوادگی یاد کرد که مردم را در لحظات مشکل و شادی کنار هم جمع میکند. 
114;2;His music unifies traditional and modern themes.;موسیقی او تم های سنتی و مدرن را در هم می آمیزد. 
115;1;In many countries, the trend toward fewer children and more senior citizens is continuing at an accelerating pace. ;در بسیاری از کشورها، روند به سمت بچه کمتر و سالخوردگان بیشتر با سرعتی زیاد در حال افزایش است. 
115;2;The lives of senior citizens in Iran have changed in recent years.;زندگی سالخوردگان در ایران در سالهای اخیر تغییر کرده است. 
116;1;The fear that people will suffer from the burden of too many elderly people is unreasonable. ;ترس از اینکه مردم از بار بوجود آمده از تعداد زیاد افراد مسن رنج می برند، بی معنا و نامعقول است. 
116;2;The elderly are now viewed as a burden on society. ;افراد مسن الان به عنوان یک بار بردوش جامعه دیده می شوند. 
117;1;The experience had aged him in advance of his years.;تجربه او را پیرتر از سن اش کرده است. 
117;2;The buildings are ageing, and some are unsafe.;ساختمان ها در حال پیر شدن هستند و بعضی از آنها نا امن هستند. 
117;3;People believe that the ageing of a society leads to slower growth of population size and to a shrinking workforce. ;مردم بر این باورند که پیر شدن یک جامعه سبب رشد کندتر شدن میزان رشد جمعیت و کمتر شدن نیروی کار میشود. 
118;1;He was desperate to get a job.;او به شدت نیاز به یک شغل داشت. 
118;2;An increasing number of companies are now desperate to keep their highly experienced older workers. ;تعداد رو به افزایشی از شرکت ها الان نیاز به حفظ کارکنان پیرتر و باتجربه خود دارند. 
119;1;She does a lot of voluntary work for the Red Cross.;او کارهای داوطلبانه بیشتر برای صلیب سرخ انجام داد. 
119;2;Voluntary services should not be viewed worthless just because they are unpaid. ;خدمات داوطلبانه تنها به خاطر اینکه بی درآمد هستند، نباید بی ارزش به حساب آیند. 
120;1;Improving health and increased life expectancy mean that today’s older population is able to lead a fuller life. ;سلامتی بیشتر و انتظار عمر بالاتر بدان معناست که جمعیت پیرتر امروز بتوانند یک زندگی بهتر را تجربه کنند. 
120;2;CDs have a life expectancy of at least 20 years.;سی دی ها انتظار عمر حداقل 20 سال دارند. 
121;1;Sport and recreational physical activity is an integral part of the society. ;فعالیت فیزیکی تفریحی و ورزشی یک بخش جدانشدنی از جامعه است. 
121;2;Britain even lagged behind the United States in the provision of recreation facilities.;بریتانیا حتی در آماده سازی امکانات تفریحی از آمریکا عقب مانده است. 
122;1;Sports boost the immune system, burn fat, reduce the risk of experiencing major illnesses. ;Sports boost the immune system, burn fat, reduce the risk of experiencing major illnesses. 
122;2;Sports boost the immune system, burn fat, reduce the risk of experiencing major illnesses. ;سیستم ایمنی بدنم به اندازه ای که باید قوی باشد، قوی نیست. 
123;1;In a society where physical inactivity, unbalanced diet, stress and other problems are becoming increasingly serious, playing sports is important to the well-being of the general population. ;در یک جامعه که بی تحرکی فیزیکی، رژیم غذایی نامتعادل، استرس و مشکلات دیگر جدیت بیشتری پیدا می کنند، ورزش کردن برای سلامت کل جامعه مهم است. 
123;2;The women should reduce their risk of chronic disease by exercising and by eating a balanced diet.;زنان  باید خطر بیماری های مزمن را با ورزش کردن و خوردن یک رژیم غذایی متعادل کاهش دهند. 
124;1;Participants in phyisical activities should take precautions and follow the instructions of sports professionals, and trainers. ;شرکت کنندگان در فعالیت های ورزشی باید پیشگیری کرده و دستورالعمل های متخصصین ورزشی، و مربیان را اجرا کنند. 
124;2;I took the precaution of insuring my camera.;من پیشگیری کرده و دوربینم را بیمه کردم. 
125;1;You need at least 20 minutes of vigorous exercise every day.;شما باید حداقل 20 دقیقه ورزش سخت هر روز انجام دهید. 
125;2;Many popular fast food menu items are unhealthy, so excessive consumption can lead to obesity. ;به شرکت کنندگان پیشنهاد می شود تا با ورزش ملایم شروع کنند و سپس تناوب فعالیت خود را انجام داده تا به ورزش های سخت برسند. 
126;1;It is hazardous to take up long duration and high intensity exercise despite lack of stamina. ;شروع ورزش های طولانی مدت و شدید علیرغم استقامت کم خطرناک است. 
126;2;You need stamina to be a long-distance runner.;برای اینکه یک دونده دوی مسیرطولانی شوید، نیاز به استقامت زیاد دارید.. 
127;1;a fast-paced game;یک بازی پر از اتفاقات متعدد
127;2;The high-pressured and fast-paced lifestyle has made it unlikely for people to gain adequate leisure time. ;سبک زندگی پر از فشار و اتفاقات متعدد احتمال اینکه مردم اوقات فراغت کافی داشته باشند را کم کرده است. 
128;1;Failure to balance work and leisure causes people to develop psychological distress, anxiety and depression. ;عدم توانایی در ایجاد توازن بین کار و اوقات فراغت باعث می شود مردم ناراحتی های روانی، تشویش و افسردگی پیدا کنند. 
128;2;Her behaviour caused his parents great distress.;رفتار او باعث شد پدر و مادرش ناراحتی شدیدی احساس کنند. 
129;1;Unpleasant work or living enviornment would increase stress to an unmanageable level. ;کار یا محیط زندگی نامطلوب استرس را به اندازه غیرقابل مدیریتی افزایش می دهد. 
129;2;Censors were having to deal with an unmanageable number of publications.;مسئولین سانسورباید با تعداد غیرقابل مدیریتی از نشریات روبرو می شدند. 
130;1;Of equal importance is the ability to handle some issues, such as time and money. ;توانایی در رودررویی با برخی مسائل مثل زمان و پول نیز اهمیتی مشابه دارد. 
130;2;A lot of people find it difficult to handle criticism.;بسیاری از مردم رودررویی با انتقاد را خیلی سخت می دانند. 
131;1;The book is full of sound advice.;کتاب پر از نصایح معقول و کاراست. 
131;2;People under stress are advised to participate more in recreational activities, adopt a sound dieting habit and exercise regularly. ;به مردمی که استرس دارند پیشنهاد می شود در فعالیت های تفریحی بیشتری شرکت کرده، یک عادت غذایی معقول را اتخاذ کرده و به صورت منظم ورزش کنند. 
132;1;a memory so terrible that she tried to block it out;خاطره ای آنقدر بد که او سعی می کرد از فکر خود دور کند. 
132;2;People should learn to block out worries and try to keep the effect of a challenge in life to a minimum. ;مردم باید یاد بگیرند نگرانی ها را از سرخود دور کرده و سعی کرده اثر یک چالش را در زندگی را به حداقل برسانند. 
133;1;Eat healthy fats in moderation, as this correlates with decreased risk for heart disease.;غذای سالم را به اندازه بخورید، زیرا با کم کردن خطر بیماری قلبی رابطه مستقیم دارد. 
133;2;Some people think drinking in moderation can prevent heart disease.;بعضی از مردم فکر می کنند نوشیدن به اندازه می تواند مانع بیماری قلبی شود. 
134;1;Eat fruits and vegetables for their high vitamin and mineral content.;به دلیل داشتن ویتامین و محتوای معدنی بالا، میوه جات و سبزیجات بخورید. 
134;2;Fish is a rich source of vitamins and minerals.;ماهی یک منبع غنی از ویتامین ها و مواد معدنی است. 
135;1;Eat low-fat dairy products, as they will reduce your fat intake while ensuring that you receive enough calcium.;محصولات لبنی کم چرب بخورید، زیرا آنها میزان چربی دریافتی تان را کاهش می دهد درعین اینکه به شما اطمینان می دهد که میزان کلسیم کافی دریافت می کنید. 
135;2;Avoid excessive smoking and alcohol intake.;از سیگار کشیدن زیاد و مصرف زیاد الکل اجتناب کنید. 
136;1;Incorporate organic foods in your daily diet.;غذاهای سالم را به رژیم روزانه تان وارد کنید. 
136;2;People are willing to pay more for organic food.;مردم تمایل دارند پول بیشتری برای غذاهای سالم بدهند. 
137;1;Enjoy rigorous daily activities. Both high-intensity gardening and housekeeping can exercise your body.;از فعالیت های روزانه کامل خود لذت ببرید. هم باغبانی پرتحرک و هم کارهای خانه می تواند بدن شما را نرمش دهد. 
137;2;Every new drug has to pass a series of rigorous safety checks before it is put on sale.;هر داروی جدید باید قبل از آنکه به فروش برسد، از آزمایش های شدید و کامل بگذرد. 
138;1;Interest in organic food is not a fad.;علاقه به غذای سالم یک مد زودگذر نیست! 
138;2;Stay away from fad diets. Avoid liquid diets, diet pills and other diet supplements unless you are under the supervision of a physician.;از مدهای غذایی زودگذر دوری کنید! از رژیم های مایعات، قرص های رژیمی و دیگر مکمل های رژیمی تا وقتی که زیر نظر یک پزشک نیستید جلوگیری کنید. 
139;1;Being overweight and being underweight are not healthy states of being.;اضافه وزنی و وزن کم حالات سلامتی نیستند. 
139;2;She was in an extremely confused state of mind.;او در شرایط بسیار پیچیده فکری بود. 
140;1;She had her back to me and didn't seem very sociable.;او به من پشت کرده بود و به نظر خیلی اجتماعی نمی رسید. 
140;2;Be sociable and surround yourself with people that enrich your life and make you happy.;اطراف خود را با افرادی پر کنید که زندگی تان را پربار کرده و شما را شاد کنند. 
141;1;Try to cut back on foods containing wheat and dairy products.;سعی کنید غذاهایی را که گندم و محصولات لبنی دارند کمتر مصرف کنید. 
141;2;Try to cut back on a time-wasting activity like channel-surfing or surfing on Facebook.;سعی کنید یکی از فعالیت های وقت گیر را مانند عوض کردن کانال  یا جستجو در فیس بوک را کاهش دهید. 
142;1;a beautiful country hotel that is the perfect place to unwind;یک هتل زیبا در اطراف شهر جای خوبی برای استراحت است. 
142;2;After work or class, head to your local yoga studio and learn how to focus your breath so that you feel all your tensions unwind.;پس از کار یا کلاس، به سمت کلاس یوگای محلی خود رفته و یاد بگیرید چطور برروی نفس تان تمرکز کنید تا احساس کنید تمام تنش هایتان از بین می روند. 
143;1;Sleeping is also a good way to prevent overeating.;خواب نیز راه خوبی برای جلوگیری از پرخوری است. 
143;2;Set time aside to slowly enjoy each meal and prevent mindless overeating.;وقتی را برای آرام لذت بردن از وعده های غذایی تان کنار بگذارید و از پرخوری بی فکر اجتناب کنید. 
144;1;The new resort area has boosted tourism.;پاتوق جدید وضعیت توریست را بهبود بخشیده است. 
144;2;Meeting up with people who share a common interest will both get you out of the house and boost your sense of belonging.;ملاقات مردمی که با شما علایق مشترک دارند هم باعث می شود از خانه بیرون بیایید هم حس شادی شما را بالا میبرد. 
145;1;The adoption of environmentally-friendly equipment can reduce waste and minimise pollution. ;استفاده (اتخاذ) از تجهیزات سازگار با محیط زیست می تواند میزان پسماندها را کاهش داده و آلودگی را به حداقل برساند. 
145;2;The term ‘environmentally friendly’ means making choices that are better for the environment.;عبارت "سازگار با محیط زیست" به معنی انتخاب هایی است که برای محیط زیست بهتر باشد. 
146;1;Some large industries in the past, when asked to make their production less environmentally-damaging, were worried about the rise in operational costs. ;برخی از صنایع بزرگ در گذشته، وقتی از آنها خواسته می شد که فرآیندهای تولید خود را سازگارتر با محیط زیست کنند، نگران افزایش هزینه های عملیاتی می شدند. 
146;2;The government ordered to end environmentally damaging industries. ;دولت دستور داد تا صنایع مضر برای محیط زیست کار خود را متوقف کنند. 
147;1;Teamwork paid off.;کار تیمی نتیجه موفقی داشت. 
147;2;We put a lot of hard work, and that's really starting to pay off now.;ما کار سختی انجام دادیم و الان آن دارد به موفقیت تبدیل می شود. 
148;1;Many older companies are revamping their image.;بسیاری از کمپانی های قدیمی در حال بازسازی ظاهر خود هستند. 
148;2;More money is needed to revamp the environment. ;به پول بیشتری برای بازسازی محیط زیست نیاز است. 
149;1;Environmental degradation has been recognised as one of the main challenges that people have to overcome in the 21st century. ;تخریب محیط زیست به عنوان یکی از چالش های اصلی به شمار می رود که مردم در قرن 21 باید بر آن غلبه کنند. 
149;2;The report speaks of extensive environmental degradation caused by high population growth.;گزارش حاکی از فرسایش شدید محیط زیست ایجاد شده به خاطر رشد جمعیت است. 
150;1;The rapid deterioration of environment is believed to impose a severe threat on people’s survival in the years ahead. ;باور بر آن است که فرسایش سریع محیط زیست یک تهدید جدی را برای بقای افراد در سالهای بعد بوجود می آورد. 
150;2;Air quality is rapidly deteriorating in our cities.;کیفیت هوا در شهرهای ما به سرعت درحال بدتر شدن است. 
151;1;He has used up all the hot water.;او تمام آبگرم را استفاده کرد. 
151;1;Air travel should be restricted because it causes serious pollution and will use up the world’s resources. ;مسافرت هوایی را باید به خاطر اینکه آلودگی های جدید ایجاد کرده و منابع جهان را استفاده می کند محدود کنیم. 
152;1;Although it is difficult to measure the actual impact of noise pollution on people’s everyday lives, its ability to increase the anxiety and levels of annoyance has been confirmed.;اگرچه اندازه گیری تاثیر واقعی آلودگی صوتی برروی زندگی روزمره مردم سخت است، اما توان آن در افزایش اضطراب و سطح ناراحتی ها به تایید رسیده است. 
152;2;Our survey revealed a noise pollution impact on the community.;نظرسنجی ما حاکی از تاثیر آلودگی صوتی برروی جامعه بود. 
153;1;Be quiet! You'll wake up the whole neighbourhood!;ساکت باش! اینطوری کل همسایه ها را بیدار می کند!
153;2;To those living in the neighborhood of an airport, noise created by aircrafts is a headache. ;برای کسانی که در همسایگی فرودگاه زندگی می کنند، سروصدای ایجاد شده توسط هواپیماها یک سردرد به حساب می آید
154;1;By replacing old engines with cleaner ones, people can mitigate the environmental impact caused by flying. ;با جایگزین کردن موتورهای قدیمی با موتورهای پاک تر، مردم می توانند میزان تاثیر زیست محیطی ایجاد شده توسط پروازها را کاهش دهند. 
154;2;They replaced the permanent staff with part-timers.;آنها کارمندان ثابت را با کارمندان پاره وقت جایگزین کردند. 
155;1;People should make adjustments and improvements wherever appropriate to ensure the optimal use of this form of travel. ;مردم میتوانند جایی که مناسب باشد، تغییرات و بهینه سازی هایی را انجام داده تا از استفاده بهینه از این نوع مسافرت ها اطمینان حاصل کنند. 
155;2;To make the optimal decision, I scan as many as possible of the various alternatives.;برای رسیدن به بهینه ترین تصمیم، من تمام گزینه های مختلف را تا حد امکان بررسی می کنم.
156;1;Some people believe that restrictions should be imposed on air travel. ;برخی مردم بر این باورند که محدودیت هایی باید برای مسافرت های هوایی اعمال شود. 
156;2;The law imposed new financial restrictions on private companies.;قانون محدودیت های مالی جدیدی را برروی شرکت های خصوصی تحمیل کرد. 
157;1;Environmentalists would like to see fossil fuels replaced by renewable energy sources.;طرفداران محیط زیست به دنبال روزی هستند که منابع انرژی تجدید شونده جایگزین سوخت های فسیلی شوند
157;2;In the USA around 71% of electricity is produced by burning fossil fuels.;در آمریکا تقریباً 71 درصد از الکتریسته از سوختن سوخت های فسیلی تولید می شوند. 
158;1;Burning coal or other fuels emits greenhouse gases and pollution in the environment.;سوزاندن زغال سنگ و سوخت های دیگر، گازهای گلخانه ای و آلودگی در محیط زیست ایجاد می کنند. 
158;2;But it might contribute to global warming because methane is a powerful greenhouse gas.;اما ممکن است سبب گرمای جهانی شود زیرا متان یک گاز گلخانه ای قوی است. 
159;1;Renewable energy such as solar power;انرژی تجدید پذیر مانند نیروی خورشیدی
159;2;An industry based on renewable resources;صنعتی مبتنی بر منابع تجدید پذیر
159;3;By using renewable energy as the primary power source, the reduction of pollution per household would be equivalent to that of planting 400 trees.;با استفاده از انرژی تجدید پذیر به عنوان منبع قدرت اولیه، کاهش آلودگی به ازای هر خانوار معادل کاشت 400 درخت است. 
160;1;Organize a carpool for work or school.;برای رفتن به مدرسه یا کار با هم هماهنگ کنید که از یک ماشین استفاده کنید. 
160;2;We should encourage more people to carpool.;باید مردم را برای مسافرت های چند سرنشینه تشویق کنیم.
161;1;Standing all day is very hard on the feet.;سرپا ایستادن در کل روز اثر بدی برروی پا دارد. 
161;2;Plan your errands to avoid going around in circles. This will use more gas and waste time. Short distance errands are hard on your car and the environment.;مسافرت های داخلی خود را طوری برنامه ریزی کنید که بیهوده دور خود نچرخید. این کار باعث استفاده از سوخت بیشتر و هدر رفتن زمان می شود. مسافرت های راه نزدیک هم برای اتومبیل تان و هم برای محیط زیست مضر است. 
162;1;Make sure to dispose of anything you discard.;اطمینان حاصل کنید که چیزهایی که دور می ریزید را امهاء می کنید. 
162;2;A device built to dispose of toxic waste;وسیله ای ساخته شده برای امهاء پسماندهای سمی. 
163;1;If you have any leftover notebooks from the previous years, use them as rough books instead buying new ones.;اگر دفترهای اضافه از سالهای قبل دارید، از آنها به عنوان دفتر چکنویس به جای خرید دفترهای جدید استفاده کنید. 
163;2;Take all your leftover bottles to be recycled.;تمام بطری های باقیمانده خود را برای بازیافت ببرید. 
164;1;Don't use pesticides. Pesticides kill hundreds of birds and other animals per year.;از آفت کش ها استفاده نکنید. آفت کش ها صدها پرنده و حیوانات دیگر را در سال می کشند. 
164;2;A lake in the country can be affected by pesticides released thousands of miles away. ;یک دریاچه در روستا می تواند به خاطر آفت کش هایی که هزاران مایل آنطرف تر رها شده اند، تاثیر بپذیرد. 
165;1;If you do apply chemical fertilizer, apply no more than is really necessary.;از کودهای شمیایی استفاده می کنید، آنها را از میزان مورد نیاز واقعی بیشتر استفاده نکنید. 
165;2;Fertilizer encourages weeds as well as crops to grow.;کودها به غیر از محصولات کشاورزی باعث تحریک و رشد علف های هرز هم می شوند. 
166;1;There is a growing concern about the destructive effects of global warming and other environmental problems. ;نگرانی رو به افزایشی درباره اثرات مخرب گرم شدن جهانی و مشکلات زیست محیطی دیگر وجود دارد. 
166;2;The destructive side-effects of pesticides are now well known.;اثرات جانبی مخرب آفت کش ها درحال حاضر شناخته شده هستند. 
167;1;People’s obsession with car use contributes greatly to greenhouse gas emission. ;علاقه ناسالم افراد به استفاده از ماشین به میزان زیادی سبب انتشار گازهای گلخانه ای می شود. 
167;2;an unhealthy obsession with being thin;یک علاقه ناسالم به لاغری
168;1;Car manufacturers should be forced to produce hybrid cars or cars powered by renewable clean energy resources as a cure-all for car emission problems. ;تولیدکنندگان ماشین باید مجبور شوند به عنوان راه حلی برای مشکلات انتشار گازهای سمی، ماشین های هایبرید و یا ماشین هایی که توسط منابع انرژی تجدیدپذیر کار می کنند تولید کنند. 
168;2;Investment is not a cure-all for every economic problem.;سرمایه گذاری یک راه حل قطعی برای حل هر مشکل اقتصادی نیست. 
169;1;The gorilla's natural habitat in Africa.;محل زندگی طبیعی گوریل در آفریقا
169;2;Further building development would threaten natural habitats.;توسعه ساخت و ساز محل زندگی طبیعی را تهدید می کند. 
170;1;The panda is classed as an endangered species.;پاندا به عنوان یک گونه در معرض خطر طبقه بندی می شود. 
170;2;Zoos keep many endangered species and those that are less rare.;باغ وحش ها گونه های در معرض خطر و آنهایی که نادرتر هستند را نگهداری می کنند. 
171;1;Species in danger of extinction;گونه های در معرض انقراض
171;2;The breed was on the verge of extinction;این گونه در معرض انقراض است. 
171;3;Many endangered species now face extinction;گونه های درمعرض خطر درحال حاضر با انقراض مواجه هستند. 
172;1;Farming is leading to the desertification of large areas of the planet.;کشاورزی منجر به بیابان زایی بخش وسیعی از کره زمین می شود. 
173;1;Deforestation has been shown to cause floods and drought.;نشان داده شده است که جنگل زایی باعث سیل و خشکسالی می شود
173;2;Some parts of tropical America have seen over 70% deforestation.;بخش هایی از آمریکای استوایی با 70% از بین رفتن جنگل ها روبرو شده اند. 
174;1;A consequence of the overpopulation has been the high incidence of malnutrition and communicable diseases.;یکی از نتایج جمعیت بیش از اندازه وقوع سوء تغذیه و بیماری های مسری است. 
174;2;Efforts to reduce overpopulation;تلاش هایی برای کاهش جمعیت
174;3;Our overpopulated cities;شهرهای با جمعیت بیش از اندازه ما
175;1;Trials of GM crops in Europe;آزمایش محصولات اصلاح شده ژنتیکی در اروپا
175;2;Many consumers do not want to eat genetically modified food.;بسیاری از مصرف کنندگان نمی خواهند غذاهای اصلاح شده ژنتیکی مصرف کنند. 
176;1;Farming is exposed to the influence of unpredictable events like natural disasters. ;کشاورزی درمعرض تاثیر رویدادهای پیش بینی نشده مانند فجایع طبیعی است. 
176;2;One worry is that genetic engineering could have unpredictable results.;یکی از نگرانی ها آن است که مهندسی ژنتیک ممکن است نتایج غیرقابل پیش بینی داشته باشد. 
177;1;Most fertilizers are organic and free of ingredients incompatible with the environment.;بیشتر کودها ارگانیک بوده و عاری از مواد ناسازگار با محیط زیست هستند.  
177;2;The laser printer is incompatible with the new computer.;پرینتر لیزری با کامپیوتر جدید ناسازگار است. 
178;1;The reserve of water in the world is not infinite. ;ذخایر آب در دنیا بی انتها نیست. 
178;2;The known reserves of coal undoubtedly are sufficient to last for centuries at present consumption rates.;ذخایر شناخته شده زغال سنگ بدون شک با میزان مصرف فعلی برای قرن ها کافی است. 
179;1;High pollution levels;سطوح بالای آلودگی 
179;2;Chemicals that pollute the environment;مواد شیمیایی که محیط زیست را آلوده می کند.
179;3;The city's heavily polluted air;هوای بسیار آلوده شهر
179;4;Companies face heavy fines for discharging pollutants into water supplies.;شرکت ها برای ریختن مواد آلاینده به منابع آب با جریمه های سنگین روبرو می شوند. 
180;1;Use of the land in such a way as to cause excessive soil erosion.;استفاده از خاک طوری که باعث فرسایش بیش از اندازه خاک شود.
181;1;The impacts of advertising on children have become an area of focus in these years. ;اثرات تبلیغات روی کودکان یک مسئله مهم در این سالها شده است. 
181;2;A career in advertising;شغلی در صنعت تبلیغات
182;1;The danger had been greatly exaggerated.;در بزرگی خطر بسیار زیاد اغراق شده بود. 
182;2;One of the main features of advertisements is giving products an exaggerated account. ;یکی از مهمترین مشخصه های تبلیغات بزرگنمایی آن است. 
183;1;What attributes should a good product have?;یک محصول خوب باید چه صفاتی داشته باشد؟
183;2;Advertisers tend to stress those attributes of a product that are likely to be valued by young consumers, while playing down others. ;تبلیغات چیان سعی می کنند برروی صفاتی از یک محصول تاکید کنند که محتملاً برای مشتریان جوان ارزش دارند، و این درحالی است که صفات دیگر را بی اهمیت جلوه می دهند
184;1;Young viewers are susceptible to the effects of a commercial, leading directly to their buying decisions. ;تماشاچیان جوان در معرض یک تبلیغ هستند که مستقیماً منجر به تصمیم آنها برای خرید می شود. 
184;2;Older people are more susceptible to infections.;افراد پیر بیشتر در معرض عفونت هستند. 
185;1;Children are more concerned with a particular label and branded products than adults. ;کودکان بیش از بزرگسالان بیشتر درگیر یک لیبل خاص و یا محصولات مارکدار هستند.
186;1;Young adults seldom take into consideratoin the function and practical values of those products. ;جوانان به ندرت عملکرد و ارزش عملی محصولات را در نظر می گیرند. 
186;2;We will take your recent illness into consideration when marking your exams.;ما مریضی اخیر شما را در نمره دادن به امتحانات شما در نظر می گیریم. 
187;1;The book is full of good ideas to grab your students' attention.;کتاب پر از ایده های خوب برای جلب کردن توجه دانشجویان است. 
187;2;As children grow up, they will make better judgments about those tactitcs advertisers use to grab their attention. ;وقتی کودکان بزرگ می شوند، آنها قضاوت بهتری نسبت به تکنیک هایی که تبلیغات چیان برای جلب کردن توجه شان بکار می برند، خواهند داشت. 
188;1;Adults are less receptive to attention-grabbing advertising messages;بزرگسالان کمتر پذیران پیام های جذاب تبلیغات هستند. 
188;2;A workforce that is receptive to new ideas;نیروی کاری که پذیرای ایده های جدید است
189;1;People who are liable for income tax at a higher rate...;افرادی که مسئول بالا رفتن مالیات بر درآمد هستند...
189;2;Advertising is liable for children’s impulsive purchases. ;صنعت تبلیغات مسئول خریدهای بدون فکر بچه هاست. 
190;1;Children in this way are misguided to make a purchase. ;کودکان بدین ترتیب برای خرید کردن خود گمراه می شوند. 
